The Chandeliers,Garden Bar,"",2023-05-07T00:00:00+00:00,2023-05-12 17:00:00 +0100,
Neil Diamond Tribute,"The Red Lion, Stone Cross",@theredlionstonecross,2023-05-07T00:00:00+00:00,2023-05-12 18:00:00 +0100,
Poison of God Falcon III  + open mic,"The Star Inn, Old Town","",2023-05-07T00:00:00+00:00,2023-05-12 18:00:00 +0100,2023-05-12 21:00:00 +0100
Drop in the Ocean,Stereo Kings,"",2023-05-08T00:00:00+00:00,2023-05-12 13:00:00 +0100,2023-05-12 16:00:00 +0100
Will Taylor,Eastbourne Working Men’s Club,"",2023-05-08T00:00:00+00:00,2023-05-12 14:00:00 +0100,2023-05-12 17:00:00 +0100
The Spooky Wagons,"The Red Lion, Willingdon",@theredlionwillingdon,2023-05-08T00:00:00+00:00,2023-05-12 15:00:00 +0100,
Amy Winehouse Tribute,"The Red Lion, Stone Cross","",2023-05-08T00:00:00+00:00,2023-05-12 18:00:00 +0100,
Saudade  + Karnius & Poison of God,The Box @ Grove Theatre,@grovetheatreeastbourne,2023-04-25T00:00:00+00:00,2023-05-12 19:00:00 +0100,2023-05-12 22:00:00 +0100
Stage Door Jazz Club,w/ Tom Fitzpatrick,@stagedoorpub,2023-04-27T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Queen Tribute Show,Bandstand,@bandstandeb,2023-04-28T00:00:00+00:00,,
Kuda,Belgian Cafe,@thebelgiancafeeastbourne,2023-04-28T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Ice Cold,The Crown & Anchor,@crownanchoreastbourne,2023-04-28T00:00:00+00:00,2023-05-12 21:00:00 +0100,
The Pat Butchers,"The Crown, Old Town",@thecrowneastbourne,2023-04-28T00:00:00+00:00,2023-05-12 21:00:00 +0100,
The Waves,Garden Bar,@gardenbareastbourne,2023-04-28T00:00:00+00:00,2023-05-12 21:00:00 +0100,
The Normans,Jesters,@jesterseastbourne,2023-04-28T00:00:00+00:00,2023-05-12 21:30:00 +0100,
The Violets,The Lamb,@lamb1790,2023-04-28T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Jay Hunter,Ninkaci,@ninkaci_eastbourne,2023-04-28T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Anna Howie,Printers Playhouse,@printers_playhouse,2023-04-28T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Family & Music Festival,"Red Lion, Stone Cross",@theredlionstonecross,2023-04-28T00:00:00+00:00,,
Rockslaw,Windsor Tavern,"",2023-04-28T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Alex De Rico,Belgian Cafe,"",2023-04-29T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
The Varlies,The British Queen,"",2023-04-29T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Stereo Kings,The Crown & Anchor,"",2023-04-29T00:00:00+00:00,2023-05-12 21:00:00 +0100,
The Watson Brothers (1-4pm) Go Commando (4.30-7.30pm) Hot Damn Trio (8-11pm),Drop in the Ocean,@dropintheoceaneb_,2023-04-29T00:00:00+00:00,,
John Lane,Eastbourne Working Men’s Club,"",2023-04-29T00:00:00+00:00,2023-05-12 20:30:00 +0100,
The Howlin’ Grooves,The Fishermens,@eastbournefishermens,2023-04-29T00:00:00+00:00,2023-05-12 20:30:00 +0100,
The Sherbert Fountains,Garden Bar,"",2023-04-29T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Project Diamond,The Seven Sisters,@thesevensisterswillingdon,2023-04-29T00:00:00+00:00,,
Nigel Wesson,Under Ground Theatre,@undergroundtheatre.eb,2023-04-29T00:00:00+00:00,2023-05-12 10:00:00 +0100,
Rockin Robbins,Garden Bar,"",2023-04-29T00:00:00+00:00,2023-05-12 18:30:00 +0100,
ELO Tribute,Bandstand on tour (Winter Garden),@bandstandeb,2023-04-21T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Hollie Poole & Stuart Bligh,Belgian Cafe,@thebelgiancafeeastbourne,2023-04-21T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Bedraggled,Crown & Anchor,@crownanchoreastbourne,2023-04-21T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Stormy-T & Bluesman’s Lane,Printer’s Playhouse,@printers_playhouse,2023-04-21T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Fat Freddie and the Queens,Langney Sports Club,"",2023-04-21T00:00:00+00:00,2023-05-12 19:00:00 +0100,
Rory Collins,Alexandra Arms,@thealexandraarmseastbourne1,2023-04-22T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Motown Tribute Show,Bandstand on tour (Winter Garden),"",2023-04-22T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Yuri Betancourt,Belgian Cafe,"",2023-04-22T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Ska’d It Up,Crown & Anchor,"",2023-04-22T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Guy Sowdon (12-3pm) Joel’s Jazz Band (3.30pm),Drop in the Ocean,@dropintheoceaneb_,2023-04-22T00:00:00+00:00,,
The Buskin’ Biker,The Eagle,@theeagleeb,2023-04-22T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Mike and the Meerkats,Eastbourne Working Men’s Club,"",2023-04-22T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Black River,Emerald Bar,@the.emeraldbar,2023-04-22T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Record Store Day,Vinyl Frontier,@the_frontierbar,2023-04-22T00:00:00+00:00,,
The Remedy,Garden Bar,@gardenbareastbourne,2023-04-22T00:00:00+00:00,2023-05-12 21:00:00 +0100,
An Evening of Queen Music,Grove Theatre,@grovetheatreeastbourne,2023-04-22T00:00:00+00:00,2023-05-12 19:00:00 +0100,2023-05-12 22:00:00 +0100
Bustin’ A Groove,Jesters,@jesterseastbourne,2023-04-22T00:00:00+00:00,2023-05-12 21:30:00 +0100,
Let Me Entertain You - The Robbie Williams Story,Royal Hippodrome,@royalhippodrome,2023-04-22T00:00:00+00:00,2023-05-12 19:30:00 +0100,
The Watson Brothers,Stage Door,@stagedoorpub,2023-04-22T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Mel Hayes & Guests,Under Ground Theatre,@undergroundtheatre.eb,2023-04-22T00:00:00+00:00,2023-05-12 10:00:00 +0100,
Eastbourne Silver Band,Bandstand,"",2023-04-23T00:00:00+00:00,2023-05-12 15:00:00 +0100,2023-05-12 16:30:00 +0100
Taylor Moon,Drop in the Ocean,"",2023-04-23T00:00:00+00:00,2023-05-12 13:00:00 +0100,2023-05-12 16:00:00 +0100
Bowie Music,"The Red Lion, Stone Cross",@theredlionstonecross,2023-04-23T00:00:00+00:00,2023-05-12 18:00:00 +0100,
Mel Hayes,Belgian Cafe,@thebelgiancafeeastbourne,2023-04-14T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
The Pat Butchers,Crown & Anchor,@crownanchoreastbourne,2023-04-14T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Jim Baldock,Emerald Bar,@the.emeraldbar,2023-04-14T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Mark Phillips,Jesters,@jesterseastbourne,2023-04-14T00:00:00+00:00,2023-05-12 21:30:00 +0100,
Unusual Suspects,The Lamb,@lamb1790,2023-04-14T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Jazz Groove Collective,Printers Playhouse,@printers_playhouse,2023-04-14T00:00:00+00:00,2023-05-12 20:30:00 +0100,
The Doris Day Story,Royal Hippodrome,@royalhippodrome,2023-04-14T00:00:00+00:00,2023-05-12 19:30:00 +0100,
Amongst Liars We Are None Thieves of Liberty Saudade,Temple Bar,@temple_eastbourne,2023-04-14T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Ben Westwood & Stuart Doane,Belgian Cafe,"",2023-04-15T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Guy & Jamie’s Zen Relics,Crown & Anchor,"",2023-04-15T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Taylor Moon (1-4pm) Kilda Street (4.30pm),Drop in the Ocean,@dropintheoceaneb_,2023-04-15T00:00:00+00:00,,
The Watson Brothers,Eastbourne Working Men’s Club,"",2023-04-15T00:00:00+00:00,2023-05-12 20:30:00 +0100,
It Takes Two Party and Motown Duo,Garden Bar,@gardenbareastbourne,2023-04-15T00:00:00+00:00,2023-05-12 21:00:00 +0100,
ELO - Electrik Live Orchestra,Royal Hippodrome,"",2023-04-15T00:00:00+00:00,2023-05-12 19:30:00 +0100,
The Jam Busters,Under Ground Theatre,@undergroundtheatre.eb,2023-04-15T00:00:00+00:00,2023-05-12 10:00:00 +0100,
London Philharmonic Orchestra: Imaginary Soundscapes,Congress Theatre,@eastbourne_theatres,2023-04-16T00:00:00+00:00,,
Funk Soul Brothers,Drop in the Ocean,"",2023-04-16T00:00:00+00:00,2023-05-12 13:00:00 +0100,2023-05-12 16:00:00 +0100
Sounds of the Ratpack Era,Devonshire Park Theatre,@eastbourne_theatres,2023-04-06T00:00:00+00:00,2023-05-12 19:45:00 +0100,
Pink Tribute Show,Bandstand on tour (at the Winter Garden),@bandstandeb,2023-04-07T00:00:00+00:00,2023-05-12 19:00:00 +0100,
Will Taylor,Belgian Cafe,@thebelgiancafeeastbourne,2023-04-07T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Love Action,Crown & Anchor,@crownanchoreastbourne,2023-04-07T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Jim Baldock (1-4pm) Rockin Robbins (4.30-7.30pm),Drop in the Ocean,@dropintheoceaneb_,2023-04-07T00:00:00+00:00,,
Sophie Mullan,Emerald Bar,"",2023-04-07T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Hot Damn,Garden Bar,@gardenbareastbourne,2023-04-07T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Hardwicke Circus,Jesters,@jesterseastbourne,2023-04-07T00:00:00+00:00,2023-05-12 21:00:00 +0100,
The Light Keepers,Printers Playhouse,@printers_playhouse,2023-04-07T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Joanna Rose Barton - An Evening With Amy,Alexandra Arms,@thealexandraarmseastbourne1,2023-04-08T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Hall Hammond,Belgian Cafe,"",2023-04-08T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Owen Donovan,Crown & Anchor,"",2023-04-08T00:00:00+00:00,2023-05-12 21:00:00 +0100,
The Do Theys,The Eagle,@theeagleeb,2023-04-08T00:00:00+00:00,2023-05-12 20:00:00 +0100,
The Stand Ins,Eastbourne Working Men’s Club,"",2023-04-08T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Tin Whisky,Emerald Bar,"",2023-04-08T00:00:00+00:00,2023-05-12 21:00:00 +0100,
The Watson Brothers,Garden Bar,"",2023-04-08T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Chris Nieto’s Neil Diamond Tribute Night Ska’d It Up The Prince Albert,Langney Sports Club,"",2023-04-08T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Piano Sing Along with Josh Payne & Stella Homewood,Printers Playhouse,"",2023-04-08T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Ruth Augilera,The Seven Sisters,@thesevensisterswillingdon,2023-04-08T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Terry & Natasha + Take Cover,Under Ground Theatre,@undergroundtheatre.eb,2023-04-08T00:00:00+00:00,2023-05-12 10:00:00 +0100,
"YMM presents A Night of Rap, R’N’B, Indie & more",Grove Theatre,@grovetheatreeastbourne,2023-04-09T00:00:00+00:00,2023-05-12 19:30:00 +0100,2023-05-12 22:30:00 +0100
Joanna Rose Barton - A Night With Amy,"The Red Lion, Stone Cross",@theredlionstonecross,2023-04-09T00:00:00+00:00,2023-05-12 18:00:00 +0100,2023-05-12 21:00:00 +0100
The Fabulous Red Diesel,The Stage Door,"",2023-03-30T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Alex D. Rico,Belgian Cafe,@thebelgiancafeeastbourne,2023-03-31T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Iron Tyger,Crown & Anchor,@crownanchoreastbourne,2023-03-31T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Stereo Kings,"The Crown, Old Town",@thecrowneastbourne,2023-03-31T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Sammy Sarfas,Emerald Bar,@the.emeraldbar,2023-03-31T00:00:00+00:00,2023-05-12 20:30:00 +0100,
The Holloway - Milton Hide Album Launch,The Grove Theatre,@grovetheatreeastbourne,2023-03-31T00:00:00+00:00,2023-05-12 19:30:00 +0100,2023-05-12 22:00:00 +0100
Ragati String Band,Printers Playhouse,@printers_playhouse,2023-03-31T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Yuri Betancourt,Belgian Cafe,"",2023-04-01T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Brotherhood,Crown & Anchor,"",2023-04-01T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Taylor Moon (12-3pm) Rockin Ambassadors (3.30-6.30pm),Drop in the Ocean,@dropintheoceaneb_,2023-04-01T00:00:00+00:00,,
Chub,The Eagle,@theeagleeb,2023-04-01T00:00:00+00:00,2023-05-12 20:00:00 +0100,
Bad Mood Monkey,Eastbourne Working Men’s Club,"",2023-04-01T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Rewind 45,Emerald Bar,"",2023-04-01T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Dynamite,Garden Bar,@gardenbareastbourne,2023-04-01T00:00:00+00:00,2023-05-12 21:00:00 +0100,
An Evening With Adele - A Tribute by Helen Ward-Jackson,The Grove Theatre,"",2023-04-01T00:00:00+00:00,2023-05-12 19:30:00 +0100,2023-05-12 22:00:00 +0100
Neil Grove & Midnight Cannonball,Under Ground Theatre,@undergroundtheatre.eb,2023-04-01T00:00:00+00:00,2023-05-12 10:00:00 +0100,
The Big Blue,"The Red Lion, Stone Cross",@theredlionstonecross,2023-04-02T00:00:00+00:00,2023-05-12 18:00:00 +0100,
Ragati String Band,Alexandra Arms,@thealexandraarmseastbourne1,2023-04-02T00:00:00+00:00,,
Hollie Poole & Stuart Bligh,Belgian Cafe,@thebelgiancafeeastbourne,2023-03-24T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
Dr Funkenstein & the Sound of the Revolution,Crown & Anchor,@crownanchoreastbourne,2023-03-24T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Sophie Mullan,The Emerald Bar,@the.emeraldbar,2023-03-24T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Kangaroo Juice,The Prince Albert,"",2023-03-24T00:00:00+00:00,2023-05-12 21:00:00 +0100,
Hippy Soul Sound,Printers Playhouse,@printers_playhouse,2023-03-24T00:00:00+00:00,2023-05-12 20:30:00 +0100,
The Buskin’ Biker,Belgian Cafe,"",2023-03-25T00:00:00+00:00,2023-05-12 20:00:00 +0100,2023-05-12 22:00:00 +0100
The Sherbert Fountains,The British Queen,"",2023-03-25T00:00:00+00:00,2023-05-12 20:30:00 +0100,
Absolute Reggae,Congress Theatre,@eastbourne_theatres,2023-03-25T00:00:00+00:00,2023-05-12 19:30:00 +0100,
AT/DC,Crown & Anchor,"",2023-03-25T00:00:00+00:00,2023-05-12 21:00:00 +0100,
